SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3 ,pm2.5,AQI,AQI REMARKS
26022019,BDL,16,80,,80,Satisfactory
28022019,BDL,9,58,,58,Satisfactory
05032019,BDL,13,100,,100,Satisfactory
07032019,BDL,BDL,74,,74,Satisfactory
12032019,BDL,12,102,,102,Moderately polluted
14032019,BDL,BDL,146,,131,Moderately polluted
18032019,BDL,BDL,76,,76,Satisfactory
20032019,4,BDL,87,,87,Satisfactory
26032019,4,BDL,71,,71,Satisfactory
28032019,4,BDL,71,,71,Satisfactory
01042020,2,5,71,55,92,Satisfactory
03042020,2,6,47,35,58,Satisfactory
07042020,2,5,57,31,57,Satisfactory
09042020,2,5,35,29,48,Good
15042020,2,5,32,28,47,Good
17042020,2,5,23,19,32,Good
22042020,2,5,30,18,30,Good
24042020,2,5,32,14,32,Good
28042020,2,5,32,*,32,Good
30042020,2,7,33,*,33,Good
06052020,2,5,71,*,71,Satisfactory
08052020,2,5,47,*,47,Good
13052020,2,8,31,*,31,Good
15052020,2,8,29,*,29,Good
20052020,2,10,50,*,50,Good
22052020,2,11,35,*,35,Good
27052020,2,7,33,*,33,Good
29052020,2,5,21,*,21,Good
5062020,2,5,22,*,22,Good
10062020,2,7,28,*,28,Good
19062020,2,5,32,*,32,Good
24062020,2,5,29,*,29,Good
26062020,2,5,33,*,33,Good
01072020,2,5,40,*,40,Good
10072020,2,5,32,*,32,Good
22072020,2,14,23,*,23,Good
24072020,2,9,18,*,18,Good
29072020,2,9,13,*,13,Good
31072020,2,10,12,*,13,Good
,,,,,,
07082020,2,12,14,*,15,Good
12082020,3,9,14,*,14,Good
14082020,2,10,19,*,19,Good
19082020,2,9,12,*,12,Good
26082020,2,5,20,*,20,Good
28082020,3,7,23,*,23,Good
02092020,2,14,8,*,18,Good
04092020,2,5,64,*,64,Satisfactory
09092020,2,5,25,*,25,Good
16092020,2,11,93,*,93,Satisfactory
23092020,2,13,35,*,35,Good
25092020,2,24,37,*,37,Good
29092020,2,9,18,*,18,Good
01102020,2,5,24,*,24,Good
07102020,2,5,30,10,30,Good
09102020,2,9,23,14,23,Good
14102020,2,6,40,12,40,Good
16102020,2,5,33,7,33,Good
21102020,2,5,24,12,24,Good
23102020,2,6,30,16,30,Good
28102020,2,12,16,6,16,Good
30102020,2,10,19,9,19,Good
04112020,2,12,22,13,22,Good
06112020,2,22,34,41,68,Satisfactory
11112020,2,9,34,19,34,Good
13112020,2,19,56,20,56,Satisfactory
18112020,5,16,34,12,34,Good
20112020,4,12,45,12,45,Good
25112020,2,16,33,47,78,Satisfactory
27112020,2,16,25,13,25,Good
01122020,2,13,56,47,78,Satisfactory
04122020,2,12,51,40,67,Satisfactory
09122020,4,17,44,34,57,Satisfactory
11122020,6,10,57,36,60,Satisfactory
16122020,2,5,35,29,48,Good
18122020,2,11,60,35,60,Satisfactory
22122020,2,11,56,30,56,Satisfactory
24122020,7,9,74,*,74,Satisfactory
30122020,2,12,76,*,76,Satisfactory
01012021,2,13,63,*,63,Satisfactory
06012021,2,11,47,*,47,Good
08012021,2,13,25,*,25,Good
13012021,2,12,31,*,31,Good
15012021,2,12,36,*,36,Good
20012021,2,13,54,*,54,Satisfactory
22012021,2,12,58,*,58,Satisfactory
27012021,2,14,54,*,54,Satisfactory
29012021,2,13,58,*,58,Satisfactory
03022021,2,12,53,*,53,Satisfactory
05022021,2,12,58,*,58,Satisfactory
10022021,2,12,53,49,82,Satisfactory
12022021,2,19,124,50,116,Moderate
17022021,2,23,96,35,96,Satisfactory
19022021,2,21,79,14,79,Satisfactory
24022021,2,17,71,9,71,Satisfactory
26022021,2,22,75,3,75,Satisfactory
03032021,2,21,60,11,60,Satisfactory
05032021,2,13,94,24,94,Satisfactory
10032021,2,20,45,11,45,Good
12032021,2,22,90,47,90,Satisfactory
17032021,2,25,96,51,96,Satisfactory
19032021,2,22,87,22,87,Satisfactory
24032021,2,24,75,47,78,Satisfactory
26032021,2,22,110,58,107,Moderate
30032021,2,26,89,26,89,Satisfactory
