SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,AQI REMARKS
15112018,BDL,19,80,55,80,Satisfactory
21112018,BDL,11,35,30,35,Good
23112018,4,14,63,4,63,Satisfactory
28112018,BDL,19,81,34,81,Satisfactory
30112018,8,14,96,73,96,Satisfactory
05122018,8,16,62,37,62,Satisfactory
07122018,5,10,63,66,63,Satisfactory
12122018,6,16,91,50,91,Satisfactory
14122018,7,17,111,31,108,Moderately polluted
18122018,6,22,69,24,69,Satisfactory
21122018,7,22,155,71,137,Moderately polluted
26122018,7,27,81,82,81,Satisfactory
28122018,7,28,209,76,172,Moderately polluted
02012019,BDL,15,100,32,100,Satisfactory
04012019,BDL,13,77,68,77,Satisfactory
09012019,BDL,BDL,233,76,188,Moderately polluted
11012019,BDL,13,128,47,119,Moderately polluted
16012019,5,19,120,69,114,Moderately polluted
18012019,5,10,173,80,149,Moderately polluted
23012019,5,35,52,35,52,Satisfactory
25012019,4,17,82,27,82,Satisfactory
30012019,7,12,169,48,146,Moderately polluted
01022019,BDL,20,139,84,127,Moderately polluted
06022019,BDL,24,116,67,111,Moderately polluted
08022019,BDL,27,116,35,111,Moderately polluted
13022019,BDL,28,141,38,126,Moderately polluted
15022019,BDL,12,100,47,100,Satisfactory
20022019,17,12,95,44,95,Satisfactory
22022019,BDL,16,97,58,97,Satisfactory
27022019,BDL,BDL,128,55,119,Moderately polluted
01032019,BDL,18,100,51,100,Satisfactory
06032019,BDL,13,99,54,99,Satisfactory
08032019,BDL,12,135,89,123,Moderately polluted
13032019,BDL,13,117,46,112,Moderately polluted
15032019,5,15,107,69,105,Moderately polluted
19032019,9,19,80,58,80,Satisfactory
22032019,9,13,71,28,71,Satisfactory
27032019,4,19,78,67,78,Satisfactory
29032019,7,16,69,39,69,Satisfactory
01042021,2,28,57,10,57,Satisfactory
07042021,2,23,79,10,79,Satisfactory
09042021,2,30,52,13,52,Satisfactory
12042021,2,26,52,39,65,Satisfactory
15042021,2,30,48,16,48,Good
21042021,2,22,41,5,41,Good
23042021,2,19,49,16,49,Good
28042021,2,20,44,10,44,Good
03052021,2,19,64,53,88,Satisfactory
06052021,2,19,41,13,41,Good
11052021,2,15,82,17,82,Satisfactory
13052021,2,22,85,6,85,Satisfactory
19052021,2,26,88,$,88,Satisfactory
21052021,2,22,51,6,51,Satisfactory
26052021,2,19,88,13,88,Satisfactory
28052021,2,14,58,6,58,Satisfactory
02062021,2,13,60,23,60,Satisfactory
04062021,2,21,60,Monitoring stopped due to Rainy Season,60,Satisfactory
11062021,2,15,53,,53,Satisfactory
18062021,2,13,136,,124,Moderate
23062021,2,13,76,,76,Satisfactory
25062021,2,19,46,,46,Good
30062021,2,13,56,,56,Satisfactory
