SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2018-11-13,,,93.0,86.0,93.0,Panaji
2018-11-15,,19.0,80.0,55.0,80.0,Panaji
2018-11-21,,11.0,35.0,30.0,35.0,Panaji
2018-11-23,4.0,14.0,63.0,4.0,63.0,Panaji
2018-11-28,,19.0,81.0,34.0,81.0,Panaji
2018-11-30,8.0,14.0,96.0,73.0,96.0,Panaji
2018-05-12,8.0,16.0,62.0,37.0,62.0,Panaji
2018-07-12,5.0,10.0,63.0,66.0,63.0,Panaji
2018-12-12,6.0,16.0,91.0,50.0,91.0,Panaji
2018-12-14,7.0,17.0,111.0,31.0,108.0,Panaji
2018-12-18,6.0,22.0,69.0,24.0,69.0,Panaji
2018-12-21,7.0,22.0,155.0,71.0,137.0,Panaji
2018-12-26,7.0,27.0,81.0,82.0,81.0,Panaji
2018-12-28,7.0,28.0,209.0,76.0,172.0,Panaji
2019-02-01,,15.0,100.0,32.0,100.0,Panaji
2019-04-01,,13.0,77.0,68.0,77.0,Panaji
2019-09-01,,,233.0,76.0,188.0,Panaji
2019-11-01,,13.0,128.0,47.0,119.0,Panaji
2019-01-16,5.0,19.0,120.0,69.0,114.0,Panaji
2019-01-18,5.0,10.0,173.0,80.0,149.0,Panaji
2019-01-23,5.0,35.0,52.0,35.0,52.0,Panaji
2019-01-25,4.0,17.0,82.0,27.0,82.0,Panaji
2019-01-30,7.0,12.0,169.0,48.0,146.0,Panaji
2019-01-02,,20.0,139.0,84.0,127.0,Panaji
2019-06-02,,24.0,116.0,67.0,111.0,Panaji
2019-08-02,,27.0,116.0,35.0,111.0,Panaji
2019-02-13,,28.0,141.0,38.0,126.0,Panaji
2019-02-15,,12.0,100.0,47.0,100.0,Panaji
2019-02-20,17.0,12.0,95.0,44.0,95.0,Panaji
2019-02-22,,16.0,97.0,58.0,97.0,Panaji
2019-02-27,,,128.0,55.0,119.0,Panaji
2019-01-03,,18.0,100.0,51.0,100.0,Panaji
2019-06-03,,13.0,99.0,54.0,99.0,Panaji
2019-08-03,,12.0,135.0,89.0,123.0,Panaji
2019-03-13,,13.0,117.0,46.0,112.0,Panaji
2019-03-15,5.0,15.0,107.0,69.0,105.0,Panaji
2019-03-19,9.0,19.0,80.0,58.0,80.0,Panaji
2019-03-22,9.0,13.0,71.0,28.0,71.0,Panaji
2019-03-27,4.0,19.0,78.0,67.0,78.0,Panaji
2019-03-29,7.0,16.0,69.0,39.0,69.0,Panaji
2021-01-04,2.0,28.0,57.0,10.0,57.0,Panaji
2021-07-04,2.0,23.0,79.0,10.0,79.0,Panaji
2021-09-04,2.0,30.0,52.0,13.0,52.0,Panaji
2021-12-04,2.0,26.0,52.0,39.0,65.0,Panaji
2021-04-15,2.0,30.0,48.0,16.0,48.0,Panaji
2021-04-21,2.0,22.0,41.0,5.0,41.0,Panaji
2021-04-23,2.0,19.0,49.0,16.0,49.0,Panaji
2021-04-28,2.0,20.0,44.0,10.0,44.0,Panaji
2021-03-05,2.0,19.0,64.0,53.0,88.0,Panaji
2021-06-05,2.0,19.0,41.0,13.0,41.0,Panaji
2021-11-05,2.0,15.0,82.0,17.0,82.0,Panaji
2021-05-13,2.0,22.0,85.0,6.0,85.0,Panaji
2021-05-19,2.0,26.0,88.0,,88.0,Panaji
2021-05-21,2.0,22.0,51.0,6.0,51.0,Panaji
2021-05-26,2.0,19.0,88.0,13.0,88.0,Panaji
2021-05-28,2.0,14.0,58.0,6.0,58.0,Panaji
2021-02-06,2.0,13.0,60.0,23.0,60.0,Panaji
2021-04-06,2.0,21.0,60.0,,60.0,Panaji
2021-11-06,2.0,15.0,53.0,,53.0,Panaji
2021-06-18,2.0,13.0,136.0,,124.0,Panaji
2021-06-23,2.0,13.0,76.0,,76.0,Panaji
2021-06-25,2.0,19.0,46.0,,46.0,Panaji
2021-06-30,2.0,13.0,56.0,,56.0,Panaji
