SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2018-03-13,7.8,14.8,146.7,45.0,131.0,Ponda
2018-03-15,8.4,15.4,120.3,37.2,114.0,Ponda
2018-03-19,9.3,12.8,149.0,45.4,133.0,Ponda
2018-03-22,7.9,14.1,185.5,56.1,157.0,Ponda
2018-03-27,9.2,16.5,153.0,46.5,136.0,Ponda
2018-03-29,9.5,15.5,122.6,40.0,115.0,Ponda
2018-02-04,6.8,13.6,105.1,32.9,103.0,Ponda
2018-06-04,9.5,11.0,96.0,29.8,96.0,Ponda
2018-10-04,8.4,13.4,177.0,54.6,151.0,Ponda
2018-12-04,9.8,12.1,183.6,58.8,156.0,Ponda
2018-04-17,8.2,15.2,158.1,50.1,139.0,Ponda
2018-04-19,8.9,11.6,143.9,43.7,129.0,Ponda
2018-04-24,8.0,13.0,141.3,45.0,128.0,Ponda
2018-04-26,7.2,13.5,159.7,51.0,140.0,Ponda
2018-02-05,8.2,16.1,59.7,19.5,60.0,Ponda
2018-04-05,7.9,16.3,88.2,28.4,88.0,Ponda
2018-08-05,8.5,13.5,71.6,22.1,72.0,Ponda
2018-10-05,7.4,14.9,65.2,20.6,65.0,Ponda
2018-05-15,7.5,11.9,44.3,14.4,44.0,Ponda
2018-05-17,7.8,14.3,67.0,21.2,67.0,Ponda
2018-05-22,8.9,12.3,77.1,23.8,77.0,Ponda
2018-05-24,9.0,14.2,79.3,25.0,79.0,Ponda
2018-05-29,9.7,14.8,73.6,23.3,74.0,Ponda
2018-05-06,5.5,9.9,38.9,12.6,39.0,Ponda
2018-07-06,6.4,9.8,40.1,12.8,40.0,Ponda
2018-12-06,5.1,11.7,32.9,10.9,33.0,Ponda
2018-06-14,6.5,11.3,31.5,10.0,31.0,Ponda
2018-06-19,5.3,9.6,31.8,10.5,32.0,Ponda
2018-06-21,6.9,9.3,35.7,10.9,36.0,Ponda
2018-06-26,4.7,9.4,37.8,12.3,38.0,Ponda
2018-06-28,5.7,10.2,23.5,8.1,24.0,Ponda
2018-03-07,7.1,10.9,29.8,9.7,30.0,Ponda
2018-05-07,5.2,9.5,19.6,6.3,20.0,Ponda
2018-10-07,6.1,11.8,25.8,8.2,26.0,Ponda
2018-12-07,7.1,11.7,26.0,8.4,26.0,Ponda
2018-07-17,6.2,10.4,30.4,9.8,30.0,Ponda
2018-07-19,6.9,10.8,35.0,10.8,35.0,Ponda
2018-07-24,7.6,11.0,31.5,10.0,32.0,Ponda
2018-07-26,6.8,12.1,33.2,10.9,33.0,Ponda
2018-02-08,7.4,11.2,39.2,12.1,39.0,Ponda
2018-07-08,8.9,13.1,43.5,13.6,44.0,Ponda
2018-09-08,8.8,13.8,37.5,11.8,38.0,Ponda
2018-08-13,8.1,14.1,30.8,9.9,31.0,Ponda
2018-08-16,7.7,14.0,33.0,10.7,33.0,Ponda
2018-08-21,8.3,12.9,38.3,12.0,38.0,Ponda
2018-08-23,7.0,9.5,34.7,11.4,35.0,Ponda
2018-08-28,7.3,11.0,32.9,10.3,33.0,Ponda
2018-08-30,7.6,11.8,40.4,12.7,40.0,Ponda
2018-11-26,10.86,13.2,68.31,28.61,66.0,Ponda
2018-11-29,11.21,13.52,68.96,30.77,69.0,Ponda
2018-03-12,10.48,15.81,68.96,34.45,60.0,Ponda
2018-06-12,11.41,15.94,64.77,33.45,62.0,Ponda
2018-10-12,10.04,15.83,59.56,34.45,75.0,Ponda
2018-12-13,9.78,15.84,81.58,40.45,71.0,Ponda
2018-12-17,10.28,14.53,70.27,40.24,66.0,Ponda
2018-12-20,10.0,15.34,63.37,36.2,60.0,Ponda
2018-12-24,11.16,14.57,61.54,34.41,64.0,Ponda
2018-12-27,9.88,17.36,71.16,41.45,66.0,Ponda
2018-12-31,10.28,14.42,75.59,41.66,65.0,Ponda
2018-03-12,10.48,15.81,68.96,46.74,60.0,Ponda
2018-06-12,11.41,15.94,64.77,53.86,62.0,Ponda
2018-10-12,10.04,15.83,59.56,65.19,75.0,Ponda
2018-12-13,9.78,15.84,81.58,56.69,71.0,Ponda
2018-12-17,10.28,14.53,70.27,65.98,66.0,Ponda
2018-12-20,10.0,15.34,63.37,63.78,60.0,Ponda
2018-12-24,11.16,14.57,61.54,65.07,64.0,Ponda
2018-12-27,9.88,17.36,71.16,63.52,66.0,Ponda
2018-12-31,10.28,14.42,75.59,73.19,65.0,Ponda
2019-03-01,10.65,16.12,84.03,54.61,84.0,Ponda
2019-07-01,10.83,15.55,83.06,42.9,90.0,Ponda
2019-10-01,10.82,15.07,94.47,59.94,117.0,Ponda
2019-01-14,10.88,14.56,92.16,63.65,94.0,Ponda
2019-01-17,11.15,15.04,94.64,47.49,120.0,Ponda
2019-01-21,10.89,15.68,88.25,58.23,113.0,Ponda
2019-01-24,11.34,15.41,92.09,52.61,117.0,Ponda
2019-01-28,11.7,15.25,85.04,68.74,112.0,Ponda
2019-01-31,10.63,15.9,92.47,47.91,114.0,Ponda
2019-04-02,10.39,14.43,119.64,84.98,113.0,Ponda
2019-07-02,10.72,13.82,91.14,51.66,91.0,Ponda
2019-11-02,10.61,14.37,109.91,48.66,107.0,Ponda
2019-02-14,10.91,14.16,117.38,55.82,112.0,Ponda
2019-02-18,10.57,14.32,123.3,49.91,116.0,Ponda
2019-02-21,10.55,13.41,127.45,59.99,118.0,Ponda
2019-02-25,10.63,14.18,90.93,37.07,91.0,Ponda
2019-02-28,10.65,13.67,111.51,38.7,129.0,Ponda
2019-02-03,10.1,14.2,123.0,45.7,115.0,Ponda
2019-04-03,10.3,14.58,146.1,41.7,183.0,Ponda
2019-09-03,9.94,14.88,129.2,43.0,119.0,Ponda
2019-12-03,10.55,15.35,86.3,38.1,86.0,Ponda
2019-03-16,10.51,15.36,129.5,36.5,120.0,Ponda
2019-03-19,10.26,14.5,117.8,41.4,112.0,Ponda
2019-03-23,10.48,14.38,97.6,46.7,100.0,Ponda
2019-03-26,10.28,14.43,91.5,42.3,91.0,Ponda
2019-03-30,10.22,14.69,79.6,43.9,80.0,Ponda
2020-04-21,9.0,12.0,20.0,17.0,28.0,Ponda
2020-04-24,10.0,14.0,47.0,20.0,47.0,Ponda
2020-04-28,11.0,14.0,57.0,21.0,57.0,Ponda
2020-01-05,8.0,13.0,54.0,30.0,54.0,Ponda
2020-05-05,8.0,12.0,43.0,24.0,43.0,Ponda
2020-09-05,9.0,12.0,60.0,33.0,60.0,Ponda
