SAMPLING DATE,SO2 µgm3,NO2 µgm3,PM10 µgm3 ,PM2.5 µgm3 ,AQI
17012018,5,15,98,*,98
19012018,BDL,19,98,*,98
24012018,13,17,66,*,66
031012018,5,BDL,125,*,117
02022018,BDL,BDL,104,*,103
07022018,BDL,BDL,94,*,94
09022018,BDL,10,69,*,69
14022018,9,BDL,61,*,61
16022018,15,15,144,*,129
21022018,BDL,13,88,*,88
23022018,4,16,76,*,76
28022018,6,BDL,98,*,98
,,,,*,
07032018,BDL,15,73,*,73
09032018,5,14,55,*,55
14032018,BDL,15,100,*,100
16032018,9,18,297,*,247
21032018,17,12,57,*,57
23032018,5,BDL,201,*,167
28032018,BDL,BDL,75,*,75
,,,,,
,,,,,
,,,,,
,,,,,
04042018,BDL,BDL,58,FPS not working,58
06042018,BDL,BDL,75,,75
11042018,4,9,78,,78
13042018,BDL,BDL,46,,46
18042018,4,BDL,178,,152
20042018,9,BDL,62,,62
25042018,BDL,BDL,52,,52
27042018,14,BDL,41,,41
2052018,9,BDL,54,FPS not working,54
4052018,4,BDL,32,,32
9052018,BDL,BDL,58,,58
11052018,6,9,34,,34
16052018,8,BDL,50,,50
18052018,10,20,31,,31
23052018,7,9,70,,70
25052018,8,10,88,,88
30052018,4,18,56,,56
1062018,4,BDL,42,FPS not operated due to rains,42
6062018,BDL,12,17,,17
8062018,BDL,19,17,,24
13062018,BDL,21,75,,75
15062018,5,14,249,,199
22062018,BDL,BDL,96,,96
27062018,14,12,95,,95
29062018,8,13,47,,47
03072018,-,-,-,-,-
5072018,BDL,BDL,92,not operated due to rains,92
10072018,BDL,9,31,,31
12072018,BDL,BDL,39,,39
17072018,BDL,BDL,58,,58
19072018,BDL,9,60,,60
24072018,8,BDL,71,,71
26072018,4,9,70,,70
31072018,BDL,BDL,37,,37
02082018,8,BDL,31,-,31
07082018,BDL,BDL,38,FPS not operated due to rains,38
09082018,BDL,BDL,35,,35
14082018,BDL,BDL,44,,44
21082018,4,9,55,,55
23082018,8,15,36,,36
30082018,BDL,BDL,19,,19
04092018,BDL,BDL,71,-,71
06092018,BDL,BDL,102,FPS not operated due to rains,102
