SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2020-03-06,8.0,12.0,50.0,31.0,51.0,Margao
2020-06-06,8.0,12.0,51.0,26.0,48.0,Margao
2020-10-06,9.0,12.0,48.0,25.0,48.0,Margao
2020-06-13,8.0,12.0,48.0,24.0,47.0,Margao
2020-06-17,8.0,12.0,47.0,24.0,43.0,Margao
2020-06-20,7.0,12.0,43.0,22.0,45.0,Margao
2020-06-24,7.0,12.0,45.0,24.0,46.0,Margao
2020-06-27,8.0,12.0,46.0,22.0,60.182156133829,Margao
2020-01-07,8.0,12.0,45.0,23.0,43.0,Margao
2020-04-07,7.0,12.0,43.0,24.0,45.0,Margao
2020-06-07,7.0,12.0,45.0,23.0,42.0,Margao
2020-11-07,6.0,12.0,42.0,22.0,42.0,Margao
2020-07-15,7.0,12.0,42.0,23.0,37.0,Margao
2020-07-18,6.0,11.0,37.0,20.0,44.0,Margao
2020-07-22,6.0,12.0,44.0,24.0,46.0,Margao
2020-07-25,6.0,12.0,46.0,23.0,46.0,Margao
2020-07-29,6.0,12.0,46.0,23.0,60.182156133829,Margao
2020-01-08,7.0,12.0,45.0,23.0,48.0,Margao
2020-05-08,7.0,12.0,48.0,24.0,45.0,Margao
2020-08-08,7.0,12.0,45.0,23.0,46.0,Margao
2020-08-13,6.0,12.0,46.0,22.0,44.0,Margao
2020-08-15,6.0,11.0,44.0,22.0,44.0,Margao
2020-08-17,6.0,12.0,44.0,21.0,45.0,Margao
2020-08-21,6.0,11.0,45.0,22.0,47.0,Margao
2020-08-26,6.0,12.0,47.0,23.0,47.0,Margao
2020-08-29,6.0,12.0,47.0,23.0,60.182156133829,Margao
2020-02-09,7.0,12.0,50.0,25.0,48.0,Margao
2020-05-09,7.0,12.0,48.0,24.0,46.0,Margao
2020-09-09,7.0,12.0,46.0,23.0,47.0,Margao
2020-12-09,6.0,12.0,47.0,23.0,46.0,Margao
2020-09-16,6.0,11.0,46.0,22.0,45.0,Margao
2020-09-19,7.0,12.0,45.0,21.0,47.0,Margao
2020-09-23,7.0,11.0,47.0,22.0,45.0,Margao
2020-09-26,7.0,12.0,45.0,22.0,47.0,Margao
2020-09-30,6.0,12.0,47.0,23.0,60.182156133829,Margao
2020-03-10,7.0,12.0,52.0,33.0,55.0,Margao
2020-07-10,7.0,12.0,55.0,32.0,52.0,Margao
2020-10-10,8.0,13.0,52.0,30.0,48.0,Margao
2020-10-14,7.0,12.0,48.0,29.0,57.0,Margao
2020-10-17,7.0,12.0,57.0,34.0,52.0,Margao
2020-10-21,8.0,13.0,51.0,31.0,55.0,Margao
2020-10-24,7.0,12.0,55.0,30.0,60.0,Margao
2020-10-28,7.0,13.0,60.0,32.0,57.0,Margao
2020-10-31,7.0,13.0,57.0,34.0,60.182156133829,Margao
2020-04-11,7.0,12.0,64.0,36.0,57.0,Margao
2020-07-11,7.0,13.0,57.0,33.0,65.0,Margao
2020-11-11,8.0,13.0,65.0,31.0,60.0,Margao
2020-11-14,7.0,13.0,60.0,31.0,65.0,Margao
2020-11-18,7.0,13.0,65.0,33.0,67.0,Margao
2020-11-21,8.0,13.0,67.0,34.0,71.0,Margao
2020-11-25,7.0,13.0,71.0,36.0,65.0,Margao
2020-11-28,7.0,13.0,65.0,33.0,60.182156133829,Margao
2020-02-12,9.0,14.0,77.0,35.0,76.0,Margao
2020-05-12,7.0,13.0,76.0,37.0,80.0,Margao
2020-10-12,9.0,14.0,80.0,41.0,73.0,Margao
2020-12-12,8.0,13.0,73.0,35.0,80.0,Margao
2020-12-16,9.0,13.0,80.0,40.0,75.0,Margao
2020-12-19,9.0,13.0,75.0,36.0,78.0,Margao
2020-12-23,10.0,14.0,78.0,37.0,82.0,Margao
2020-12-26,9.0,13.0,82.0,37.0,79.0,Margao
2020-12-30,8.0,14.0,79.0,40.0,60.182156133829,Margao
2021-02-01,7.0,14.0,76.0,38.0,70.0,Margao
2021-06-01,7.0,13.0,70.0,35.0,67.0,Margao
2021-09-01,7.0,13.0,67.0,32.0,64.0,Margao
2021-01-13,6.0,13.0,64.0,30.0,70.0,Margao
2021-01-16,7.0,13.0,70.0,37.0,67.0,Margao
2021-01-20,8.0,14.0,67.0,34.0,74.0,Margao
2021-01-23,8.0,14.0,74.0,36.0,73.0,Margao
2021-01-27,7.0,13.0,73.0,35.0,76.0,Margao
